"filename", "language", "System Verilog", "XML", "Verilog", "Markdown", "comment", "blank", "total"
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\Cache\cache.sv", "System Verilog", 95, 0, 0, 0, 47, 17, 159
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\Cache\d_cache.sv", "System Verilog", 185, 0, 0, 0, 21, 26, 232
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\Cache\d_sram2sram_like.sv", "System Verilog", 55, 0, 0, 0, 13, 12, 80
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\Cache\i_cache.sv", "System Verilog", 64, 0, 0, 0, 21, 17, 102
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\Cache\i_sram2sram_like.sv", "System Verilog", 52, 0, 0, 0, 13, 12, 77
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\EX\EX.sv", "System Verilog", 106, 0, 0, 0, 9, 39, 154
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\EX\alu.sv", "System Verilog", 123, 0, 0, 0, 31, 36, 190
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\EX\alu_data_sel.sv", "System Verilog", 18, 0, 0, 0, 0, 1, 19
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\EX\div.sv", "System Verilog", 93, 0, 0, 0, 31, 9, 133
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\EX\div_ip.sv", "System Verilog", 48, 0, 0, 0, 17, 11, 76
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\EX\ex_reg_hazard.sv", "System Verilog", 25, 0, 0, 0, 9, 11, 45
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\EX\mul_ip.sv", "System Verilog", 40, 0, 0, 0, 14, 5, 59
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\ID\branch_controller.sv", "System Verilog", 16, 0, 0, 0, 4, 4, 24
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\ID\id.sv", "System Verilog", 227, 0, 0, 0, 37, 37, 301
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\ID\id_defines.vh", "Verilog", 0, 0, 74, 0, 14, 10, 98
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\ID\reg_harzrd.sv", "System Verilog", 28, 0, 0, 0, 9, 7, 44
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\ID\regfile.sv", "System Verilog", 24, 0, 0, 0, 5, 8, 37
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\IF\IF.sv", "System Verilog", 34, 0, 0, 0, 6, 12, 52
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\IF\pc_next_sel.sv", "System Verilog", 12, 0, 0, 0, 4, 4, 20
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\IF\pc_reg.sv", "System Verilog", 27, 0, 0, 0, 10, 5, 42
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\MEM\MEM.sv", "System Verilog", 111, 0, 0, 0, 11, 28, 150
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\MEM\ade_exception.sv", "System Verilog", 50, 0, 0, 0, 0, 5, 55
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\MEM\exception.sv", "System Verilog", 23, 0, 0, 0, 2, 9, 34
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\MEM\hilo_reg.sv", "System Verilog", 25, 0, 0, 0, 2, 5, 32
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\MEM\mem_io_controller.sv", "System Verilog", 56, 0, 0, 0, 0, 9, 65
"c:\Users\wangsy\Desktop\2021_CQU_NSCSCC\README.md", "Markdown", 0, 0, 0, 6, 0, 3, 9
